Epoca,MSE
1,4.774121
2,3.819206
3,3.673763
4,3.615274
5,3.519428
6,3.455200
7,3.403374
8,3.311169
9,3.195443
10,3.143515
11,3.089606
12,2.972911
13,2.869724
14,2.845959
15,2.795562
16,2.716103
17,2.676790
18,2.623989
19,2.621079
20,2.591347
21,2.580093
22,2.575858
23,2.574828
24,2.571756
25,2.571253
26,2.573177
27,2.564009
28,2.555696
29,2.547190
30,2.547878
31,2.538349
32,2.497339
33,2.472642
34,2.437245
35,2.398006
36,2.330174
37,2.233269
38,2.145906
39,2.114249
40,2.092450
41,2.082160
42,2.073743
43,2.065803
44,2.056772
45,2.052248
46,2.039390
47,2.037407
48,1.985796
49,1.971372
50,1.968036
51,1.949941
52,1.941784
53,1.935470
54,1.934889
55,1.934661
56,1.934338
57,1.931562
58,1.930944
59,1.930760
60,1.930721
61,1.930473
62,1.931150
63,1.930948
64,1.930319
65,1.929546
66,1.926846
67,1.926502
68,1.923872
69,1.923949
70,1.920756
71,1.919381
72,1.918467
73,1.911302
74,1.908534
75,1.907652
76,1.904932
77,1.901463
78,1.905347
79,1.904744
80,1.904014
81,1.900789
82,1.900535
83,1.900506
84,1.900484
85,1.900464
86,1.900444
87,1.900423
88,1.900398
89,1.900364
90,1.900303
91,1.900144
92,1.902319
93,1.898929
94,1.893353
95,1.893100
96,1.893024
97,1.892965
98,1.892896
99,1.892804
100,1.893237
101,1.893100
102,1.895674
103,1.899604
104,1.898578
105,1.901519
106,1.893015
107,1.890713
108,1.894294
109,1.896304
110,1.897822
111,1.891630
112,1.897715
113,1.896908
114,1.892607
115,1.889181
116,1.889099
117,1.889084
118,1.889072
119,1.889061
120,1.889052
121,1.889043
122,1.889034
123,1.889026
124,1.889016
125,1.889006
126,1.888994
127,1.888977
128,1.888947
129,1.888882
130,1.888871
131,1.887521
132,1.885338
133,1.885291
134,1.885274
135,1.885263
136,1.885254
137,1.885247
138,1.885241
139,1.885235
140,1.885230
141,1.885225
142,1.885220
143,1.885215
144,1.885210
145,1.885206
146,1.885201
147,1.885196
148,1.885191
149,1.885185
150,1.885179
151,1.885172
152,1.885164
153,1.885153
154,1.885138
155,1.885115
156,1.885073
157,1.884974
158,1.885081
159,1.884557
160,1.885302
161,1.881179
162,1.881200
163,1.876063
164,1.870474
165,1.869973
166,1.869565
167,1.851684
168,1.844185
169,1.831117
170,1.790549
171,1.782751
172,1.771533
173,1.766885
174,1.762159
175,1.761586
176,1.760951
177,1.760840
178,1.760724
179,1.760508
180,1.759359
181,1.759824
182,1.757947
183,1.749778
184,1.747637
185,1.746101
186,1.745975
187,1.745891
188,1.745750
189,1.745099
190,1.742340
191,1.742139
192,1.742110
193,1.742080
194,1.742039
195,1.741945
196,1.741438
197,1.738543
198,1.738322
199,1.738292
200,1.738258
201,1.738205
202,1.738086
203,1.737266
204,1.734785
205,1.734639
206,1.734604
207,1.734579
208,1.734561
209,1.734546
210,1.734533
211,1.734522
212,1.734513
213,1.734504
214,1.734496
215,1.734489
216,1.734483
217,1.734476
218,1.734470
219,1.734465
220,1.734459
221,1.734454
222,1.734449
223,1.734443
224,1.734438
225,1.734433
226,1.734428
227,1.734423
228,1.734417
229,1.734411
230,1.734404
231,1.734397
232,1.734387
233,1.734374
234,1.734355
235,1.734319
236,1.734232
237,1.733953
238,1.732786
239,1.730769
240,1.730706
241,1.730624
242,1.730206
243,1.710307
244,1.701243
245,1.666881
246,1.653461
247,1.643034
248,1.619170
249,1.598966
250,1.596061
251,1.595517
252,1.595354
253,1.595273
254,1.595182
255,1.594970
256,1.590833
257,1.587684
258,1.587656
259,1.587633
260,1.587614
261,1.587597
262,1.587583
263,1.587570
264,1.587558
265,1.587548
266,1.587538
267,1.587529
268,1.587521
269,1.587513
270,1.587506
271,1.587500
272,1.587493
273,1.587487
274,1.587482
275,1.587477
276,1.587472
277,1.587467
278,1.587462
279,1.587458
280,1.587454
281,1.587450
282,1.587446
